trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.897}",20,0,-18.696177447084334,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.35, 'e': 0.894}",25,15,5.287301848855851,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.35, 'e': 0.891}",25,14,-111.9112080115155,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.35, 'e': 0.888}",25,0,-89.33866740783459,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.35, 'e': 0.885}",25,0,-82.63818788716598,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.35, 'e': 0.882}",25,0,-82.98440725744742,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.879}",30,0,-180.96759278640798,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.35, 'e': 0.876}",20,0,-186.0472572946443,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.35, 'e': 0.873}",30,0,-63.21397767379746,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.35, 'e': 0.87}",20,0,-177.35798535692453,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.35, 'e': 0.867}",20,0,-92.2950402520914,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.35, 'e': 0.864}",20,10,4.3359365988516005,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.35, 'e': 0.861}",20,0,-43.72944483963373,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.35, 'e': 0.858}",25,0,-58.47218795643504,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.35, 'e': 0.855}",25,7,-75.26996173657963,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.35, 'e': 0.852}",20,0,-221.67326273023372,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
17,False,"{'a': 0.35, 'e': 0.849}",25,0,-83.01266198841891,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.35, 'e': 0.846}",20,0,-116.20408629790313,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.35, 'e': 0.843}",20,14,-11.97440847388042,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.35, 'e': 0.84}",20,0,-65.7005312058101,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.35, 'e': 0.837}",20,0,-117.571879543481,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.35, 'e': 0.834}",20,0,-113.81824963608837,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.35, 'e': 0.831}",25,0,-15.597403222077137,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.35, 'e': 0.828}",30,0,-73.11406147561271,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.35, 'e': 0.825}",20,12,15.032984240780422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.35, 'e': 0.822}",20,0,-33.78178747909541,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
