trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999218760172474}",30,0,-144.91634650336337,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-104.9012808127684,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9992969573935987}",25,0,-146.95306808922214,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-13.653969001410317,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9980475107000991}",25,0,-203.71350726842084,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-100.37752875773084,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.996174316800261}",25,0,-130.9334222485988,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9950041652780257}",20,0,-129.2115755584804,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9936785463792964}",20,6,-35.41223063940087,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-168.13921354468292,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9905617592124779}",20,0,-86.37456836859933,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-105.67466505214546,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9868259031903286}",20,0,-143.43205847615684,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-141.79709272628546,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9824733131012553}",20,0,-148.3709341237573,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-133.91520294333742,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9775067091723805}",25,11,-43.688283589476065,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-73.08670600141312,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.97192919536949}",25,0,-127.67853181669715,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-87.91626573046062,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9657442574571544}",20,0,-161.4008029256099,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.962425197628238}",20,0,-113.59527563147412,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9589557608202409}",20,9,-49.33795478479812,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.955336489125606}",30,0,-83.9001638585096,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9515679480481722}",35,0,-172.20276415615845,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,0,-60.633642277588045,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9435854362834473}",25,0,-155.40124838407849,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-128.72607976079436,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.935013214336077}",25,0,-115.99043022651416,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9305076219123143}",20,0,-111.28786386950964,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9258566395657406}",20,0,-42.640665498535974,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,2,1.5797154653474423,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9161214345336103}",20,0,-115.36141614191143,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9110387329540337}",25,0,-84.97262481642557,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9058136834259364}",25,0,-231.5910575546445,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
36,False,"{'a': 0.5, 'e': 0.9004471023526769}",30,0,-127.61722938201595,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8949398282516295}",25,0,-89.29893719437734,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8892927216231682}",30,0,-164.70313998264788,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8835066648162144}",35,3,-103.97746756950828,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-59.53465107255553,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8715213384746725}",35,8,-39.25296196571335,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.8653239416229412}",20,6,-34.039759417744136,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8589913396658283}",30,0,-200.78797407573728,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-76.15463990987988,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.8459244992310679}",25,0,-71.14274869740676,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8391923024206541}",25,2,-222.8123352832743,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 5}",1
47,False,"{'a': 0.5, 'e': 0.8323289835203194}",20,0,-23.456348315127528,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8253356149096782}",25,5,-55.631115591466354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.8182132892883485}",25,2,-159.93349413381594,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.8109631195052179}",20,0,-89.76552882630476,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8035862383845647}",20,11,-58.41320477013248,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,0,-69.43287904394236,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7884569722396517}",20,0,-108.07011333733396,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7807069511324468}",20,0,2.5808097165106587,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
