trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.16774880913547,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.93476603367314,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.02733164950106,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.31824499814431,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.97307702968862,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.14296837992106,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.52713684245454,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.17127502171137,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.30797339198892,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.61307564861647,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.09503352401338,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.48771932954027,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.29965724392736,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.16679632592556,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.22848371716357,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.39432846527265,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.58228389962544,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-268.5730017355837,"{0: 13, 1: 4, 2: 8, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.89138512656245,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.29796025275562,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.94468891598196,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.9866692103747,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.61672538533087,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,8,-174.75474457670992,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.6467389839956,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.89181143779118,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.32396727677128,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-116.87953213561919,"{0: 14, 1: 8, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.47220500468566,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.13275687302578,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
