trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 0.9997949757562065}",25,0,-71.91611862216025,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.45, 'e': 0.999179987094707}",25,0,-203.18748826511055,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.45, 'e': 0.9981552861906721}",20,0,-65.06034853746229,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.45, 'e': 0.9967212932211577}",25,0,-194.42418991702573,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.45, 'e': 0.9948785961928122}",25,0,-158.18818323086066,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.45, 'e': 0.992627950700765}",25,10,-92.9485765863511,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.45, 'e': 0.9899702796187965}",20,0,-100.46227197167435,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.45, 'e': 0.986906672720914}",20,0,-38.782017282500156,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.45, 'e': 0.983438386234493}",30,14,-72.99416065148155,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.45, 'e': 0.9795668423251612}",20,0,-160.20199744498657,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.45, 'e': 0.9752936285136438}",25,0,-128.75466950129825,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.45, 'e': 0.970620497024801}",25,0,-71.99950781949568,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.45, 'e': 0.9655493640691322}",25,0,-145.5126771088111,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.45, 'e': 0.9600823090570362}",20,0,-86.39531389012566,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.45, 'e': 0.9542215737461524}",30,0,-96.26177816528497,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.45, 'e': 0.9479695613221308}",20,0,-94.71833626098409,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.45, 'e': 0.9413288354132108}",25,0,-79.5106329342346,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.45, 'e': 0.9343021190390074}",30,0,-140.76201817704504,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.45, 'e': 0.9268922934939426}",30,0,-43.140814303462264,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.45, 'e': 0.9191023971657747}",20,12,-7.140175183017966,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.45, 'e': 0.9109356242897113}",20,0,-1.9237938153675849,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.45, 'e': 0.9023953236386187}",20,0,-32.18461129204658,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.45, 'e': 0.8934849971498625}",25,0,-70.32047546480007,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.45, 'e': 0.8842082984893433}",25,11,-124.78307143862553,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 2}",1
25,False,"{'a': 0.45, 'e': 0.8745690315533167}",20,0,-12.05160625806812,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.45, 'e': 0.8645711489086111}",20,0,-56.747723262147446,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.45, 'e': 0.8542187501718841}",20,4,-7.293192814526656,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.45, 'e': 0.8435160803285806}",20,0,-25.596349101584803,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.45, 'e': 0.8324675279922832}",20,0,-105.27266188571762,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.45, 'e': 0.8210776236051671}",25,0,-118.75029915853835,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.45, 'e': 0.8093510375803001}",20,0,-64.99795542521625,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.45, 'e': 0.7972925783865465}",25,10,-37.118329597783124,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.45, 'e': 0.784907190576861}",25,17,-46.444721620013425,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
