trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999020016006562}",25,2,-126.12652998724752,"{0: 9, 1: 7, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.4, 'e': 0.9996080256099974}",30,3,-131.66373282961376,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 3}",1
3,False,"{'a': 0.4, 'e': 0.9991181296463766}",20,0,-140.47138254998902,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.9984324097278344}",25,0,-118.65756040131414,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9975510002532796}",25,2,-41.35037702597299,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.9964740739761475}",20,0,-169.83511310324008,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.995201841970541}",20,0,-125.89768885628696,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9937345535898603}",30,0,-90.42315262309073,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9920724964179307}",20,0,-45.06458886825612,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9902159962126371}",25,0,-92.30084779412358,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9881654168420767}",20,0,-39.67780534901058,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.9859211602132415}",20,0,-73.88943182700356,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9834836661932461}",25,0,-117.6806373774606,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.9808534125231153}",25,0,-124.28606160631043,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.9780309147241483}",20,0,-25.395266196666736,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.9750167259968777}",25,0,-93.35585296640926,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.971811437112645}",30,0,-151.8314478465555,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.4, 'e': 0.9684156762978101}",20,1,-70.7062681535577,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.9648301091106221}",25,0,-163.2921190692167,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.4, 'e': 0.9610554383107709}",35,0,-109.00993754606812,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.9570924037216496}",30,0,-114.44530375674374,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.9529417820853506}",30,0,-100.00739780413923,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.9486043869104273}",20,0,-51.49074585167837,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9440810683124485}",20,12,1.8280117085436003,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.9393727128473789}",30,0,-95.62445566503153,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9344802433378168}",20,0,-67.52609335018602,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.9294046186921237}",30,0,-253.45588682584474,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
28,False,"{'a': 0.4, 'e': 0.9241468337164813}",25,0,-126.98277911019841,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.4, 'e': 0.9187079189199134}",25,0,-129.5154003233653,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.9130889403123083}",25,3,-74.61322535944231,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.4, 'e': 0.9072909991954848}",20,0,-102.6676402472371,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.901315231947341}",20,0,-182.6577197752465,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
33,False,"{'a': 0.4, 'e': 0.8951628097991272}",25,0,-18.167804882499937,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.8888349386058886}",25,0,-142.87632074796412,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.8823328586101215}",30,0,-205.370136650799,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
36,False,"{'a': 0.4, 'e': 0.87565784419869}",20,6,-5.693642636246147,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.8688112036530498}",25,0,-237.17194925389958,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
38,False,"{'a': 0.4, 'e': 0.8617942788928298}",20,0,-98.73830972531331,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.8546084452128195}",30,0,-111.95477000720815,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
40,False,"{'a': 0.4, 'e': 0.8472551110134161}",25,0,-91.6910376581899,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.8397357175245823}",25,0,-162.52108358033857,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
42,False,"{'a': 0.4, 'e': 0.8320517385233702}",20,0,-109.619432078825,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.8242046800450651}",25,0,-141.17538180585206,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.4, 'e': 0.8161960800880077}",25,0,-106.0200703618023,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.8080275083121518}",20,14,4.475740754893086,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.7997005657314151}",35,0,-107.07202210750646,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.7912168843998866}",20,0,-4.9082353845180196,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.782578127091948}",25,4,-78.95954454010845,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
49,False,"{'a': 0.4, 'e': 0.7737859869763766}",20,2,-160.44021579614574,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 2}",1
50,False,"{'a': 0.4, 'e': 0.7648421872844884}",30,0,-262.2222388131878,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
51,False,"{'a': 0.4, 'e': 0.7557484809723912}",25,20,10.42894408552299,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.7465066503774105}",20,1,-106.84872866077448,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.4, 'e': 0.7371185068687567}",20,0,-79.68814604232492,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.7275858904925034}",20,3,-12.694599985828237,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.4, 'e': 0.7179106696109433}",30,0,-60.739294383577,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
