trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-933.9630834087596,"{0: 84, 1: 16, 2: 33, 3: 3, 4: 14}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,1,-648.9725241846869,"{0: 51, 1: 11, 2: 21, 3: 2, 4: 10}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-341.15310378032444,"{0: 51, 1: 12, 2: 18, 3: 0, 4: 4}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,13,-459.67768252052673,"{0: 48, 1: 10, 2: 19, 3: 2, 4: 6}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-499.6663564396309,"{0: 59, 1: 11, 2: 21, 3: 3, 4: 6}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-480.2131809458637,"{0: 57, 1: 10, 2: 27, 3: 1, 4: 5}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-681.0328235342026,"{0: 67, 1: 18, 2: 30, 3: 2, 4: 8}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-759.8638989824767,"{0: 86, 1: 22, 2: 28, 3: 5, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,24,-111.82693025691471,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-520.578047595086,"{0: 57, 1: 15, 2: 19, 3: 2, 4: 7}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-513.2804215626031,"{0: 58, 1: 11, 2: 22, 3: 3, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-586.0117193427757,"{0: 56, 1: 17, 2: 16, 3: 2, 4: 9}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,3,-449.6315186209508,"{0: 46, 1: 11, 2: 20, 3: 3, 4: 5}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-676.3119196067621,"{0: 71, 1: 18, 2: 24, 3: 3, 4: 9}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,31,-30.294835380943404,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-791.0573334466571,"{0: 51, 1: 12, 2: 21, 3: 3, 4: 13}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,11,-331.40152782733094,"{0: 25, 1: 4, 2: 9, 3: 1, 4: 6}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,18,-488.52203131113544,"{0: 32, 1: 6, 2: 11, 3: 2, 4: 9}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-607.1509923630565,"{0: 75, 1: 15, 2: 25, 3: 2, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,15,-487.87534188445477,"{0: 40, 1: 8, 2: 17, 3: 3, 4: 7}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-500.32558750321937,"{0: 55, 1: 14, 2: 23, 3: 3, 4: 5}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-631.146586093981,"{0: 60, 1: 9, 2: 19, 3: 1, 4: 11}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-533.1059655241946,"{0: 56, 1: 11, 2: 25, 3: 1, 4: 7}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,10,-300.73674735998486,"{0: 30, 1: 4, 2: 10, 3: 1, 4: 5}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,12,-504.9055894635417,"{0: 36, 1: 8, 2: 9, 3: 3, 4: 9}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-567.1055446510153,"{0: 54, 1: 13, 2: 22, 3: 5, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,1,-1010.9933660906551,"{0: 63, 1: 12, 2: 22, 3: 6, 4: 17}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,12,-148.72375904859786,"{0: 24, 1: 3, 2: 11, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,7,-318.24776801316335,"{0: 41, 1: 8, 2: 9, 3: 2, 4: 5}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,7,-635.6182774217971,"{0: 64, 1: 14, 2: 26, 3: 3, 4: 8}",1
